gardenname,Garden Address,Borough,Food,Food Count,FruitTrees,FruitTrees Count,Chickens,Chickens Count,,
Highland Park Community Garden,,,TRUE,,TRUE,,FALSE,,,
Green Dome,,,FALSE,,TRUE,,FALSE,,,
La Casita Verde Community Garden,,,TRUE,,FALSE,,FALSE,,,
Canarsie Neighborhood Farm and Garden,,,TRUE,,TRUE,,FALSE,,,
Lentol Garden,,,FALSE,,TRUE,,FALSE,,,
Citizens for a Better Community Garden,,,TRUE,,TRUE,,FALSE,,,
Success Garden - East New York,,,TRUE,,FALSE,,FALSE,,,
Urban Meadow,,,TRUE,,TRUE,,FALSE,,,
Kosciusko Street Garden and Learning Center,,,FALSE,,TRUE,,FALSE,,,
Garden of Union (Annie's Garden),,,TRUE,,TRUE,,FALSE,,,
Hattie Carthan Community Garden,"49 Van Buren St, Brooklyn, NY 11221",Brooklyn,TRUE,1,TRUE,1,TRUE,1,% of chicken gardens with fruit trees: ,66.66666667
Human Compass Community Garden,,,FALSE,,TRUE,,FALSE,,,
Amazing Garden,,,TRUE,,TRUE,,FALSE,,,
Backyard Garden,,,TRUE,,TRUE,,FALSE,,,
Summit Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
Betty's Community Garden at Hull Street,,,TRUE,,TRUE,,FALSE,,,
East 4th Street Community Garden (Windsor Terrace Kensington Veterans Memorial),,,TRUE,,TRUE,,FALSE,,,
Georgia Avenue Community Garden,,,TRUE,,FALSE,,FALSE,,,
TLC Sculpture Park Garden,,,TRUE,,TRUE,,FALSE,,,
Paradise Community Garden,,,FALSE,,FALSE,,FALSE,,,
Umoja Garden,"1448 Broadway, Brooklyn, NY 11221",Brooklyn,TRUE,1,TRUE,1,TRUE,1,% of chicken gardens with food:,96.2962963
Brooklyn Bears/Carlton Avenue Garden,,,TRUE,,TRUE,,FALSE,,,
Brooklyn Bears/Rockwell Place Garden,,,TRUE,,TRUE,,FALSE,,,
George Washington Carver Community Garden,,,TRUE,,FALSE,,FALSE,,,
El Puente: Espiritu Tierra Community Garden - Earth Spirit,,,TRUE,,TRUE,,FALSE,,,
Olive Street Garden,,,TRUE,,FALSE,,FALSE,,,
Powers Street Garden,,,TRUE,,FALSE,,FALSE,,,
Sunshine Community Garden,,,TRUE,,TRUE,,FALSE,,,
Good Life Garden,,,TRUE,,FALSE,,FALSE,,,
721 Decatur Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
All People's Community Garden,,,TRUE,,TRUE,,FALSE,,,
Amboy Street Garden,,,TRUE,,TRUE,,FALSE,,,
American Heart Garden,,,TRUE,,FALSE,,FALSE,,,
Artsy Bloom Community Garden,,,TRUE,,TRUE,,FALSE,,,
Berry Street Garden,,,TRUE,,TRUE,,FALSE,,,
Ten Eyck Garden,,,TRUE,,TRUE,,FALSE,,,
Big Red Community Garden,,,TRUE,,FALSE,,FALSE,,,
CAUSA Festival Garden,,,TRUE,,TRUE,,FALSE,,,
Cedar Tree Garden,,,TRUE,,TRUE,,FALSE,,,
"Triple R (Rest, Reflection, Relaxation)",,,TRUE,,FALSE,,FALSE,,,
New Vision Garden,,,TRUE,,TRUE,,FALSE,,,
Clara's Garden,,,TRUE,,TRUE,,FALSE,,,
Clifton Place Memorial Garden & Park,,,TRUE,,TRUE,,FALSE,,,
Dumont Garden of Green,"746 Dumont Ave, Brooklyn, NY 11207",Brooklyn,TRUE,1,TRUE,1,TRUE,1,,
Cooper Street Block Buster Community Garden,,,TRUE,,FALSE,,FALSE,,,
Crystal Wells Community Garden,,,TRUE,,TRUE,,FALSE,,,
Green Gems,"147 Fountain Ave, Brooklyn, NY 11208",Brooklyn,TRUE,1,TRUE,1,TRUE,1,,
East End Community Garden,,,TRUE,,TRUE,,FALSE,,,
Union Street Garden and Community Development,,,TRUE,,TRUE,,FALSE,,,
Elton Street Community Garden,,,TRUE,,FALSE,,FALSE,,,
Euclid 500 Community Garden,,,TRUE,,TRUE,,FALSE,,,
Family Community Garden Brooklyn,,,TRUE,,TRUE,,FALSE,,,
