"","ParksID","InspectionID","NextToAnotherGarden","TotalFenceLength","TotalSidewalkArea","TotalSidewalkLength","OnSiteService","HydrantW_in15ft","HydrantOnGardenSide","RainHarvesting","RainGallons","SolarPanels","CompostSystem","CompostTumblers","NonFoodPlants","Food","OpenLawnOrCommunalArea","PavedArea","TreesInGarden","FruitTrees","StreetTrees","EmptyTreePits","Murals","BlankShed","ParksSign","Chickens","Pond","FishInPond","Turtles","Aquaponics","FarmersMarket","CSApickup","Composting","Greenhouse","StructureForSeasonExtension","assemblydist","borough","communityboard","congressionaldist","coundist","gardenname","juris","multipolygon","openhrsf","openhrsm","openhrssa","openhrssu","openhrsth","openhrstu","openhrsw","policeprecinct","statesenatedist","status","zipcode"
"1","B047A-GT001",275,"false",662,1090,218,"true","false","false","true",120,"false","true","true","true","true","false","false","true","true","true","false","false","false","true","false","false","","false","false","false","false","true","false","false",54,"B",305,7,37,"Highland Park Community Garden","DPR","MULTIPOLYGON (((-73.88830110488323 40.68288563283587, -73.8881693510188 40.68271758047213, -73.88749693055063 40.683030627423875, -73.88753739425583 40.68308342633658, -73.88758275164325 40.68314260926203, -73.88762426120408 40.68319890676426, -73.88830110488323 40.68288563283587)))","","","10:00 a.m. to 3:00 p.m.","","","","10:00 a.m. - 3:00 p.m.",75,18,"Active",11208
"2","B058-GT001",241,"false",416,6925,419,"false","false","false","true",500,"false","false","true","true","false","false","false","true","true","true","false","false","true","true","false","false","","false","false","false","false","true","false","false",50,"B",301,7,33,"Green Dome","DPR","MULTIPOLYGON (((-73.95303796783779 40.71970997125542, -73.95304174475727 40.719709747668475, -73.95304525952572 40.71970867119163, -73.95309131278627 40.71966231010332, -73.95273894931681 40.719444329050525, -73.95273345373684 40.719441415445914, -73.95272756606057 40.71943897804976, -73.95272136083183 40.719437045709036, -73.9527149114147 40.719435641866944, -73.95270829472902 40.71943478276432, -73.95270159243351 40.71943447834023, -73.9526948850062 40.71943473403083, -73.95268825174881 40.719435545366125, -73.95268177433331 40.719436903374614, -73.95267552970326 40.71943879097825, -73.95266959480597 40.71944118569598, -73.95266403949198 40.7194440587402, -73.95265893124922 40.71944737501891, -73.95265433165095 40.71945109493499, -73.95265029753956 40.71945517438692, -73.95264687511049 40.71945956206467, -73.95264410819141 40.71946420755779, -73.95264202877954 40.71946905324682, -73.95264066177147 40.71947404060895, -73.95265195002733 40.71954147633451, -73.9526803357717 40.719711044112735, -73.95286611761968 40.71968633918852, -73.95287793119684 40.7196840990531, -73.95288990888155 40.71968243531, -73.95290200096045 40.71968135334183, -73.95291415890382 40.71968085853173, -73.95292633418521 40.71968095176045, -73.95293847709512 40.71968163300759, -73.95295053792536 40.71968290045183, -73.9529624693381 40.719684747770344, -73.95297422044469 40.719687168638714, -73.95298574627816 40.71969015133208, -73.9529962083508 40.7196927589779, -73.95300635869681 40.719696004056544, -73.95301612986962 40.719699863127275, -73.95302545797331 40.71970431275093, -73.95303428030007 40.71970932318509, -73.95303796783779 40.71970997125542)))","","9:00 a.m. - 10:00 a.m. & 4:30 p.m. - 6:00 p.m.","","11:00 a.m. - 4:00 p.m.","","8:00 a.m. - 9:30 a.m. & 6:30 p.m. - 7:30 p.m.","",94,59,"Active",11211
"3","B142-GT001",321,"false",0,2886,222,"false","true","true","true",2000,"false","true","false","true","true","true","false","true","false","true","false","true","true","false","false","false","","false","false","false","false","true","true","false",50,"B",301,7,33,"La Casita Verde Community Garden","DPR","MULTIPOLYGON (((-73.96402016069543 40.70769934323782, -73.96408714447196 40.707925492435855, -73.96423569789428 40.707897852468335, -73.96428608835652 40.70765349097123, -73.96402016069543 40.70769934323782)))","","","12:00p - 5:00p","12:00p - 5:00p","","","",90,18,"Active",11211
"4","B166-GT001",85,"false",0,1250,250,"false","false","false","true",240,"false","false","false","true","true","true","true","true","true","true","false","false","false","false","false","false","","false","false","true","false","false","false","false",59,"B",318,8,46,"Canarsie Neighborhood Farm and Garden","DPR","MULTIPOLYGON (((-73.88841827520534 40.630104490197766, -73.88854992864641 40.630168933944034, -73.88880128865574 40.62987086648837, -73.88866963555994 40.62980642302787, -73.88841827520534 40.630104490197766)))","","","8:00 a.m. - 1:00 p.m.","8:00 a.m. - 1:00 p.m.","","","",69,19,"Active",11236
"5","B223U-GT001",336,"false",0,1971,156,"false","true","true","true",1000,"true","true","true","true","false","true","true","true","true","true","false","false","true","true","false","true","false","false","false","false","false","true","false","false",50,"B",301,7,33,"Lentol Garden","DPR","MULTIPOLYGON (((-73.9447823949202 40.72010374338004, -73.94495980169572 40.720284693935156, -73.94493921390021 40.72031557157944, -73.94492649307286 40.7203424637246, -73.94491873735498 40.720366482915836, -73.94491447289322 40.72038799675748, -73.94491255571694 40.720414935492876, -73.94491381899168 40.720437368698086, -73.94491731593368 40.720458066788915, -73.94492978634578 40.72048645952615, -73.94494598068717 40.72051583469789, -73.94496333528353 40.72054050976054, -73.94505786104845 40.72064795151037, -73.94526351802295 40.72052419154481, -73.94503270548311 40.72031032035415, -73.94509215914253 40.72027417524239, -73.94515235757791 40.72023757929907, -73.94521025629301 40.72020238252266, -73.94527231492319 40.72016465636116, -73.94532474030244 40.72013278520952, -73.94538240792428 40.7200977278154, -73.94543773084371 40.72006409568874, -73.94549993013209 40.72002628302171, -73.94555644538153 40.71999192649169, -73.94572536791458 40.719889234654765, -73.94554110775012 40.719642505181014, -73.9447823949202 40.72010374338004)))","","","9:00 a.m. - 1:00 p.m.","9:00 a.m. - 1:00 p.m.","5:00 p.m - 7:00 p.m","10:00 a.m. - 12:00 p.m.","",94,59,"Active",11222
"6","B224A-GT001",100,"false",0,3337,230.5,"true","true","true","true",1080,"false","true","false","true","true","true","false","true","true","true","true","false","true","false","false","false","","false","false","false","false","true","false","false",56,"B",303,8,41,"Citizens for a Better Community Garden","DPR","MULTIPOLYGON (((-73.92698678594263 40.6880860648926, -73.92693115856557 40.687808688453075, -73.92693077265233 40.68780676200906, -73.92691558309112 40.68780876591208, -73.92647848702558 40.68786644635211, -73.92647135499743 40.68786725585974, -73.92652521526696 40.68813837012029, -73.92659852587478 40.68813006283861, -73.92697103108176 40.688087850519885, -73.92698678594263 40.6880860648926)))","","","10:00 am - 06:00 pm","","","","",81,25,"Active",11221
"7","B383-GT001",498,"false",300,7900,500,"false","true","true","true",400,"false","true","true","true","true","true","true","true","false","true","true","true","false","true","false","false","","false","false","false","false","true","true","false",60,"B",305,8,42,"Success Garden - East New York","DPR","MULTIPOLYGON (((-73.89703381671828 40.66469344256565, -73.89738780923231 40.66464170450946, -73.89745783348596 40.66491741057926, -73.89782886239799 40.66486318111407, -73.8976799025971 40.664313643527024, -73.89696498752184 40.66442243349341, -73.89703381671828 40.66469344256565)))","3:00p - 5:00p","10:00 a.- 12:00 p","11:00a - 2:00p","","10:00a - 3:00 p","11:00a - 1:00p","10:00a.- 12:00 p",75,19,"Active",11207
"8","B390-GT001",530,"false",NA,1996,202,"false","true","true","false",NA,"false","false","false","true","true","true","false","true","true","true","false","true","false","true","false","false","","false","false","false","false","false","false","false",51,"B",306,10,39,"Urban Meadow","DPR","MULTIPOLYGON (((-74.0049729057717 40.68449356489822, -74.0052625885507 40.68457455953821, -74.00536475639477 40.684361433809805, -74.00502802443674 40.68426727507708, -74.00489775208138 40.68453883425088, -74.00494480932522 40.68455199234765, -74.0049729057717 40.68449356489822)))","9:00a - 6:00p","","9:00a - 6:00p","9:00a - 6:00p","9:00a - 6:00p","","",76,26,"Active",11231
"9","B398-GT001",317,"false",263.25,957,79.75,"true","false","true","false",NA,"false","false","false","true","false","true","false","true","true","true","false","true","false","true","false","false","","false","false","false","false","false","false","false",56,"B",303,8,36,"Kosciusko Street Garden and Learning Center","DPR","MULTIPOLYGON (((-73.93932400734326 40.692381414877495, -73.93941956774312 40.69237043663548, -73.93941081983711 40.69232508939075, -73.93936465476945 40.692085793317965, -73.93926909476849 40.69209677151479, -73.93917353473607 40.692107749632186, -73.9390779758553 40.692118727670895, -73.93913288763217 40.692403371124016, -73.93922844691193 40.6923923930401, -73.93932400734326 40.692381414877495)))","12:00 p.m. - 6:00 p.m.","8:00a.m. - 10:00a.m. & 1:00p.m.- 2:00p.m.","12:30 p.m. - 4:30 p.m.","12:30p.m. - 4:30p.m.","10:00 a.m. - 12:30 p.m.","8:00a.m. - 10:00a.m. & 1:00p.m.- 2:00p.m.","10:00 a.m.-11:30 a.m. & 2:00 p.m. - 4:00 p.m.",81,25,"Active",11221
"10","B399-GT001",223,"true",NA,1575,75,"false","false","false","true",150,"true","true","false","true","true","true","false","true","true","true","false","true","true","true","false","true","true","false","false","false","true","false","false","false",52,"B",306,10,39,"Garden of Union (Annie's Garden)","DPR","MULTIPOLYGON (((-73.98255493650099 40.67708863862593, -73.98270436804555 40.67686964700798, -73.98269763500132 40.67686705341378, -73.98261285640515 40.676834392472884, -73.98257974827075 40.67682163707714, -73.98254015548098 40.67680638446128, -73.98245814925255 40.67677479093671, -73.98230870410237 40.67699377773284, -73.98225319585183 40.676972392766714, -73.98240264350176 40.67675340694298, -73.98236135482465 40.67673750113284, -73.98235413217627 40.676734718335375, -73.98224968177885 40.676887767256545, -73.98220468204381 40.67695370229523, -73.98219492360951 40.67696800005835, -73.98220221723803 40.67697080899164, -73.9823553599241 40.67702979017599, -73.98252457919948 40.6770949628363, -73.98254520178654 40.677102904904096, -73.98255493650099 40.67708863862593)))","","","","","","5:00p - 7:00p","",78,26,"Active",11215
